#blinkered/attestations/2 language=sk words=117635 sources=4 built=2026-09-23 digest=fbf8845aa02ea931
#tokens ebible:slk=108469 ia=2525187 lz:slk_news_2020_100K=137003 lz:slk_newscrawl_2016_1M=3632538 lz:slk-sk_web_2016_1M=4210502 tat=116664 wiki:sk=53188744 wikisource:sk=383907
BARANÍM	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.webnoviny.sk/kultura/clanok/100751-armin-van-buuren-roztancuje-bratislavu-uz-coskoro/ wiki:sk:196490 wiki:sk:236461
BEZOLOVNATÉHO	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://aktualne.atlas.sk/horuce-dni-vylakali-na-kupaliska-tisicky-ludi-rekordy-navstevnosti-ale-odolali/slovensko/ wiki:sk:50581 wiki:sk:77626
CELONÁRODNE	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.webnoviny.sk/slovensko/clanok/43976-petrzalka-ocakava-rokovania-o-kolajovej-trati/ wiki:sk:37436 wiki:sk:39391
CESTOVATEĽSKEJ	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.pluska.sk/zena/volny-cas/otestujte/ohrozuje-syndrom-vyhorenia-aj-vas.html wiki:sk:113497 wiki:sk:377067
CHAOTICKÉHO	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.webnoviny.sk/ostatne-sporty/clanok/1089906-fury-zaluje-antidopingovu-agenturu-pre-obvinenia-z-dopingu/ wiki:sk:5867 wiki:sk:114822
CYNIZMOM	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://aktualne.atlas.sk/video-pozrite-sa-ako-vznikla-planeta-opic-a-planeta-zombie-walking-dead/showbizz/film/ wiki:sk:30022 wiki:sk:30638
DANOSTIAM	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.webnoviny.sk/kultura/clanok/477463-rapperi-jay-z-a-kanye-west-urovnali-sudny-spor/ wiki:sk:686 wiki:sk:1932
DESPOTICKEJ	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.pluska.sk/old/aktuality/30040260-futbal-sestak-ma-problemy-so-slabinami-musi-pod-skalpel.html wiki:sk:959 wiki:sk:1733
DESTABILIZOVALA	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:https://www.cas.sk/fotogaleria/331037/velky-test-zemiakovych-cipsov-ktore-chutia-najlepsie/6/ wiki:sk:2924 wiki:sk:10953
DIALÝZOU	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.etrend.sk/uzavrete-hlasovania-trend/baro-355.html wiki:sk:14351 wiki:sk:14354
DIVOČINOU	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.24hod.sk/clanok_iframe.html?id=70327 wiki:sk:3938 wiki:sk:108967
DÔMYSELNÚ	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.24hod.sk/hex-bude-pocas-festivalu-nakrucat-dvd-cl35733.html wiki:sk:30526 wiki:sk:34118
DOSADLI	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://aktualne.atlas.sk/washington-uvalil-sankcie-na-osmich-ukrajincov-a-rusku-banku/zahranicie/europa/ wiki:sk:15879 wiki:sk:46015
DOŽIVOTNÉMU	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.24hod.sk/diskusia-72214-duracka-navrhuje-zrusit-platbu-najnizsimi-mincami.html wiki:sk:33392 wiki:sk:141837
DROGOVOM	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.sme.sk/diskusie/user_reaction_list.php?id_user=101147=9 wiki:sk:87327 wiki:sk:114571
DVOJROZMERNÚ	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.pluska.sk/emma/svetova/kralovna-kostymov-uhadnes-kto-ukryva-pod-maskou.html wiki:sk:42371 wiki:sk:47548
DŽBÁNE	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:https://aktualne.atlas.sk/zahranicie/azia/turecko-spamatava-z-krvaveho-utoku-pocet-obeti-stale-stupa.html wiki:sk:25208 wiki:sk:47008
EGOCENTRICKÝ	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.webnoviny.sk/slovensko/clanok/789791-vlada-obvinuje-opoziciu-cez-emisie-vraj-poskodzuje-fica/ wiki:sk:31765 wiki:sk:102452
EMISÁRA	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.24hod.sk/vodic-so-zakazom-soferovat-havaroval-bol-na-mol-opity-cl207991.html wiki:sk:69226 wiki:sk:130955
EPILEPTICKÝMI	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.etrend.sk/trend-archiv/rok-/cislo-Okt%C3%B3ber/digital-uz-s-novym-nazvom.html wiki:sk:1436 wiki:sk:10330
ERODUJE	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.webnoviny.sk/kultura/clanok/550102-zbirka-by-privital-akukolvek-hudobnu-aktivitu-gombitovej/ wiki:sk:51971 wiki:sk:94514
EVIDENČNÁ	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.24hod.sk/suverenny-nor-berger-slovaci-bez-bodu-cl67063.html wiki:sk:34800 wiki:sk:57823
GÉNOVÉHO	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.etrend.sk/firmy/lizingovy-trh-tahaju-len-ojazdene-auta/diskusia.html wiki:sk:10686 wiki:sk:165420
GRAMOFÓNOV	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.pluska.sk/old/aktuality/bomby-bagdade-pri-mosule-zabili-41-ludi-temer-dvesto-zranili.html wiki:sk:7705 wiki:sk:44817
HAUSBÓT	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.sme.sk/diskusie/user_reaction_list.php?id_user=11008=7 wiki:sk:61156 wiki:sk:265310
HERBICÍDU	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:https://www.cas.sk/clanok/333551/zena-ma-dom-plny-psov-kazdeho-zo-41-chlpacov-pozna-po-mene/ wiki:sk:8710 wiki:sk:15190
HLASNEJŠÍ	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.webnoviny.sk/diskusia-clanok/516786-extremne-horucavy-nemaju-konca-meteorologovia-varuju/strom/ wiki:sk:23324 wiki:sk:86599
HLIADKOVALO	lz:slk_newscrawl_2016_1M,wiki:sk	1,8	lz:slk_newscrawl_2016_1M:http://www.pluska.sk/emma/sexi/rozchod-nemusi-byt-koniec-viete-si-predstavit-priatelstvo-vasim-ex.html wiki:sk:157080 wiki:sk:591404
